date,equity,positions,cash
2026-06-15,907088.0023287253,0,907088.0023287253
2026-06-16,907088.0023287253,0,907088.0023287253
2026-06-17,907088.0023287253,0,907088.0023287253
2026-06-18,911184.5531815178,1,656793.4531815178
2026-06-19,912524.7278851352,2,383331.7278851353
2026-06-22,913551.1278851354,2,383331.7278851353
2026-06-23,899421.2603011129,1,744620.4603011128
2026-06-24,896060.2590228629,0,896060.2590228629
2026-06-25,891132.5399187404,0,891132.5399187404
2026-06-29,891132.5399187404,0,891132.5399187404
2026-06-30,891132.5399187404,0,891132.5399187404
2026-07-01,890608.8549194403,1,709268.8549194403
2026-07-02,895536.8549194403,1,709268.8549194403
2026-07-03,889251.4965804403,0,889251.4965804403
2026-07-06,889251.4965804403,0,889251.4965804403
2026-07-07,889251.4965804403,0,889251.4965804403
2026-07-08,889251.4965804403,0,889251.4965804403
2026-07-09,889251.4965804403,0,889251.4965804403
2026-07-10,887947.8762315653,1,714879.1562315653
2026-07-13,876557.3131906528,0,876557.3131906528
2026-07-14,875618.5522247627,1,631656.5522247627
2026-07-15,866465.577114149,0,866465.577114149
2026-07-16,870399.2820684216,1,615204.2820684216
2026-07-17,857135.2348349167,1,607295.2348349167
2026-07-20,857122.8260507542,2,349985.7260507542
2026-07-21,865165.8720585706,3,131746.42205857072
2026-07-22,858704.7629360708,2,385027.96293607075
2026-07-23,854663.6837768158,2,514200.1837768158
2026-07-24,845172.4678852983,0,845172.4678852983
2026-07-27,845172.4678852983,0,845172.4678852983
2026-07-28,845172.4678852983,0,845172.4678852983
2026-07-29,845172.4678852983,0,845172.4678852983
2026-07-30,845172.4678852983,0,845172.4678852983
2026-07-31,845172.4678852983,0,845172.4678852983
2026-08-03,846865.6220197983,1,592816.6220197983
2026-08-04,835436.7554007559,0,835436.7554007559
2026-08-05,831070.5385330684,0,831070.5385330684
2026-08-06,827676.137605316,0,827676.137605316
2026-08-07,827676.137605316,0,827676.137605316
2026-08-10,827676.137605316,0,827676.137605316
2026-08-11,827676.137605316,0,827676.137605316
2026-08-12,827676.137605316,0,827676.137605316
2026-08-13,827676.137605316,0,827676.137605316
2026-08-14,822979.2015053061,0,822979.2015053061
2026-08-17,814851.0106301527,0,814851.0106301527
2026-08-18,811159.343390184,0,811159.343390184
2026-08-19,811159.343390184,0,811159.343390184
2026-08-20,811159.343390184,0,811159.343390184
2026-08-21,803351.2706097766,0,803351.2706097766
2026-08-24,798776.9599949394,0,798776.9599949394
2026-08-25,795391.6823184445,0,795391.6823184445
2026-08-26,792370.5434516446,1,569781.4434516446
2026-08-27,791813.7000771821,2,361648.8000771821
2026-08-28,789673.7402593794,2,389544.44025937933
2026-08-31,780436.0411610294,1,606927.2911610294
2026-09-01,776034.1512456231,0,776034.1512456231
2026-09-02,776034.1512456231,0,776034.1512456231
2026-09-03,776034.1512456231,0,776034.1512456231
2026-09-04,776034.1512456231,0,776034.1512456231
